Candidate,Party,Votes,Percent
Josh Fryday,Democratic,315789,14.4
Janelle Kellman,Democratic,77124,3.5
Jeyson Lopez,Democratic,27400,1.2
Fiona Ma,Democratic,459002,20.9
Oliver Ma,Democratic,124590,5.7
Tim Myers,Democratic,35483,1.6
Abdur Rahman Sikder,Democratic,12102,0.6
Michael Tubbs,Democratic,267904,12.2
Ebie Lynch,Republican,40540,1.8
David Collenberg,Republican,144935,6.6
David Fennell,Republican,150275,6.8
Gloria Romero,Republican,407808,18.5
Skip Shelton,Republican,99554,4.5
Alice Stek,Peace and Freedom,27344,1.2
Rakesh Christian,No Party Preference,3607,0.2
Sean Collinson,No Party Preference,6661,0.3
