Race,Candidate,Votes,Percent
Position 1,Konnor Kirkpatrick,759,2.9844290657439445
Position 1,Alicia Louise Dove,1070,4.207297892419
Position 1,Colene Martin,11720,46.08367411135577
Position 1,Corey Wilson,1969,7.742214532871973
Position 1,John West,7470,29.372444164831705
Position 1,Tracy Thompson,2396,9.421201635734509
Position 1,Write-in,48,0.1887385970430953
Position 2,Michael A Burdge,335,1.3359387462115169
Position 2,Chad Hansen,8446,33.68160791194768
Position 2,Indra Nicholas,3717,14.822938267666293
Position 2,Mark Jones,5404,21.550486520976232
Position 2,Matt Spurlock,4066,16.214707289838888
Position 2,Mark J Seligman,540,2.153453501355878
Position 2,James (Jim) Rafferty,1263,5.036688467060137
Position 2,Matt Eide,1260,5.024724836497049
Position 2,Write-in,45,0.17945445844632318
